stable_article_id,title,date,primary_body,party,year_month,source,weight,q1_score,q1_n,q2_score,q2_n,q3_score,q3_n,q4_score,q4_n
art_v1_0023cf1d0d1cf228e04b2dfa6ab41000013e790345329164e15ca7ec7c798415,"US to back F-16 training for Ukrainians, pair say; Zelenskyy plans to take role at G7 summit in Japan",2023-05-20,"HIROSHIMA, Japan - President Joe Biden told allies",democrat,2023-05,The Hartford Courant,1.6094379124341005,10.0,4.0,10.0,1.0,10.0,1.0,20.0,1.0
art_v1_0028ff0852919d2b74977edbfee988f6a6d4f6ac9c132272bd28201237abd845,"Russia's Annexation Moves, Nuclear Threats Raise Stakes in Ukraine; U.S. has banned use of its weapons against Russian territory but not against the occupied areas of Ukraine Putin now intends to annex",2022-09-26,WASHINGTON—The Ukraine war is entering a risky per,democrat,2022-09,The Wall Street Journal Online,1.0986122886681098,30.0,2.0,0.0,1.0,,,,
art_v1_003767bd9d84ca42fd03dfd8d5a0c482a122ec78f8c61ae0d73ebefa67eb39e2,The Latest Flash Point Among Ukraine’s Allies Is Whether to Send F-16s,2023-05-18,The United States is resisting a European push for,democrat,2023-05,NYTimes.com Feed,2.079441541679836,45.0,7.0,25.0,2.0,,,25.0,2.0
art_v1_003ed4b0fed767b9634a8c8255fbd2bff787d5d342d2de6c326c8aa4d94dda42,"Russia’s Claim of Chemical, Bio Labs in Ukraine Is a Ruse",2022-03-11,In the latest in a series of specious and outlandi,democrat,2022-03,Heritage Foundation - The Daily Signal,0.6931471805599453,,,0.0,1.0,,,,
art_v1_003ff2ea0571554b778d610902781a21a1c512627733f2752ea0d0ea355a4f4b,"Public support for Ukraine remains high in the U.S., survey shows ; Americans see Ukraine as succeeding in its fight against the Russian invasion. That might explain the robust public support for Ukraine.",2022-10-20,Will the cost of supporting Ukraine's fight agains,democrat,2022-10,Washington Post.com,0.6931471805599453,0.0,1.0,,,,,0.0,1.0
art_v1_003ff2ea0571554b778d610902781a21a1c512627733f2752ea0d0ea355a4f4b,"Public support for Ukraine remains high in the U.S., survey shows ; Americans see Ukraine as succeeding in its fight against the Russian invasion. That might explain the robust public support for Ukraine.",2022-10-20,Will the cost of supporting Ukraine's fight agains,republican,2022-10,Washington Post.com,1.0986122886681098,75.0,1.0,,,25.0,1.0,,
art_v1_0047b0afec6ee649366d5e74b3da55d25487f88dab9c4eba46959a8435df2b73,"Ukraine: 'Fast-track' talks underway for missiles, planes",2023-01-29,"KYIV, Ukraine — Ukraine and its Western allies are",democrat,2023-01,St. Louis Post-Dispatch,0.6931471805599453,20.0,1.0,,,,,,
art_v1_0047fd7798fef7539a7f6c535c3c22e61db4ee5affb533f5dd10bfdbc2d04e43,Pentagon looks to vastly expand weapons for Ukraine,2022-04-13,The Biden administration is poised to dramatically,democrat,2022-04,Washington Post.com,1.6094379124341005,7.5,4.0,,,,,,
art_v1_00499b9904fb4a53874ae903959ff38a9c208b4e6596d8765d0a24d77ec5a50d,"Political stunt or needed perspective? Congressional candidates travel to border, Ukraine",2024-05-27,May 27—As candidates vying to represent Eastern Wa,democrat,2024-05,The Spokesman-Review (Tribune Content Agency),0.6931471805599453,,,,,,,,
art_v1_004ca1e3041e7bbb4df834d61adf37119254dbd21300d22b63ce9ce2f74a1c37,Don't Abandon Kyiv Now!,2023-10-03,What a time for lawmakers to play games with Ukrai,republican,2023-10,New York Post,0.6931471805599453,50.0,1.0,,,,,100.0,1.0
art_v1_004e35395a0a4ec1d7c33724cc0edd93a6265212dabc105ed17503e2ee95cc8b,U.S. Speeds Up Reshaping of Taiwan’s Defenses to Deter China,2022-05-25,The Biden administration is taking lessons from th,democrat,2022-05,NYTimes.com Feed,0.6931471805599453,,,,,100.0,1.0,,
art_v1_004f388dd28d7098b1a724ad1e0479c50cd9d0f7daac51ff27ba9347b63c7af2,REPUBLICANS ARE FAR TOO EAGER TO SEE BIDEN FAIL,2022-03-04,After her fellow Republicans booted her from party,republican,2022-03,The Capital Times & Wisconsin State Journal,1.3862943611198906,80.0,1.0,70.0,2.0,,,,
art_v1_0050c8b6f7c22dd3b0452d55dcb36909727ca7ff66d926019309d955dabb3c4b,The bill to arm Israel and Ukraine could be the last great fight of Biden's political life,2023-10-20,* Biden has little chance of passing ambitious leg,democrat,2023-10,Business Insider,1.3862943611198906,20.0,3.0,,,,,30.0,2.0
art_v1_0050c8b6f7c22dd3b0452d55dcb36909727ca7ff66d926019309d955dabb3c4b,The bill to arm Israel and Ukraine could be the last great fight of Biden's political life,2023-10-20,* Biden has little chance of passing ambitious leg,republican,2023-10,Business Insider,0.6931471805599453,75.0,1.0,,,,,,
art_v1_0052f1ffedfce9fe12938714cc11d3db786c36cd402f04e51a44875dd0df1154,Putin’s Dangerous Nuclear Brinkmanship in Ukraine,2022-03-14,Most Americans view nuclear weapons as a relic of ,democrat,2022-03,The Heritage Foundation,0.6931471805599453,,,,,,,,
art_v1_00575864b21707d44bcc583625e9479b63a00efc352638badf9243be6406cec4,US official says Russia will likely control region in eastern Ukraine within weeks as the country pleads for more weapons from the West,2022-06-13,* A senior US official told The Washington Post Ru,democrat,2022-06,Business Insider,0.6931471805599453,10.0,1.0,,,,,,
art_v1_005e9440f77d3b2abff43dc80785a04975949e89cdaffafe5ac123574069e0c1,US battle tanks headed to Ukraine,2023-01-26,President Joe Biden said the U.S. will provide add,democrat,2023-01,USA Today Online,1.3862943611198906,3.3333333333333335,3.0,,,,,10.0,1.0
art_v1_0060447310cbfb84be05334a988c5ba2a2b659519893e862921176e4de5fc3df,Facts Matter: Trump was not supporter of NATO,2022-03-05,"Shortly before the Russian invasion of Ukraine, fo",republican,2022-03,Daily Herald,0.6931471805599453,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0
art_v1_007359ed129a9ef71c09f8c693d37fbd69ac81edfa967c80aace55fe75756f30,"Zelensky, After Tough Year on Battlefield, Insists Ukraine Will Prevail",2023-12-20,"Ukraine’s counteroffensive sputtered, but Presiden",democrat,2023-12,NYTimes.com Feed,0.6931471805599453,50.0,1.0,,,,,,
art_v1_007359ed129a9ef71c09f8c693d37fbd69ac81edfa967c80aace55fe75756f30,"Zelensky, After Tough Year on Battlefield, Insists Ukraine Will Prevail",2023-12-20,"Ukraine’s counteroffensive sputtered, but Presiden",republican,2023-12,NYTimes.com Feed,1.0986122886681098,75.0,2.0,75.0,1.0,,,75.0,1.0
art_v1_00756eb5de49746d5cca951f419a8bef632ff6500f2fa2a4535f6a15f29880e8,Heritage Action President Calls on House Speaker to Prioritize Border Security in Spending Fight,2023-12-05,Heritage Action for America President Kevin Robert,democrat,2023-12,Heritage Foundation - The Daily Signal,0.6931471805599453,20.0,1.0,,,,,,
art_v1_00756eb5de49746d5cca951f419a8bef632ff6500f2fa2a4535f6a15f29880e8,Heritage Action President Calls on House Speaker to Prioritize Border Security in Spending Fight,2023-12-05,Heritage Action for America President Kevin Robert,republican,2023-12,Heritage Foundation - The Daily Signal,1.0986122886681098,37.5,2.0,,,,,95.0,2.0
art_v1_007cf12a56a20f8d1b93eadb5a4966ba30c994595b18fa09a9f7f01f7ab471c1,Biden Announces $800 Million in Ukraine Aid After Zelensky’s Plea to Congress,2022-03-16,Hours after Ukrainian President Volodymyr Zelensky,democrat,2022-03,Rolling Stone,2.079441541679836,12.142857142857142,7.0,8.333333333333334,3.0,0.0,1.0,,
art_v1_007e69712730322445c85aa15f9849758831a5466043e796700124686238cb41,"Without More Aid, Ukraine Could Lose the War, U.S. General Says",2024-04-11,The United States gives Ukraine’s military most of,republican,2024-04,NYTimes.com Feed,1.0986122886681098,45.0,2.0,,,,,,
art_v1_008a2d637191161881fccd47e36c5bd586fc192833d83ce89b0371d9f441120e,"After hesitancy, Germany greenlights some heavy arms for Ukraine",2022-04-26,"BERLIN — First, Germany said it couldn't spare any",democrat,2022-04,Washington Post.com,0.6931471805599453,0.0,1.0,,,,,,
art_v1_00923d5ec71f1c60eeb754e39f31036e5790a17ab3adc5e6976eb8c2324333d4,"Most favor military aid to Ukraine, but partisan split grows, poll finds",2023-10-05,"Nearly 20 months after Russia invaded Ukraine, bip",democrat,2023-10,Washington Post.com,0.6931471805599453,70.0,1.0,,,,,,
art_v1_00923d5ec71f1c60eeb754e39f31036e5790a17ab3adc5e6976eb8c2324333d4,"Most favor military aid to Ukraine, but partisan split grows, poll finds",2023-10-05,"Nearly 20 months after Russia invaded Ukraine, bip",republican,2023-10,Washington Post.com,1.3862943611198906,50.0,3.0,,,,,60.0,1.0
art_v1_00936ae1a368bf0735f6857cfa7cf07a39dc2e713e231691db5a70dde8250456,"Zelensky, entering new stage of war, faces political test",2022-04-03,"Nearly every day, Ukrainian President Volodymyr Ze",democrat,2022-04,Washington Post.com,1.0986122886681098,,,,,,,,
art_v1_0098bbcda536e764f2af3bf625bf5ec4aa8fc726100523881605993fbfcd1f13,Wednesday Briefing,2024-02-21,"Ukrainian troops are feared missing or captured.
U",democrat,2024-02,NYTimes.com Feed,0.6931471805599453,20.0,1.0,,,20.0,1.0,20.0,1.0
art_v1_009af03fe3ee53495585c8ff6985fe0cc54478d442e9e06ac96a3e8237252fb1,Zelensky Says Russia Is Counting on U.S. Elections to Stop Flow of Aid to Ukraine,2023-09-09,The American presidential election now looms over ,republican,2023-09,The New York Times,1.3862943611198906,80.0,1.0,,,,,90.0,1.0
art_v1_009fed5bddf0143cd90f77d66b621414dfa9530041fc5a82748de563bea2442a,US Cluster Munitions Headed to Ukraine,2023-07-07,"July 7, 2023 7:27 PM
washington -
The United State",democrat,2023-07,Voice of America Press Releases and Documents,0.6931471805599453,0.0,1.0,,,,,,
art_v1_00a06a9a94b352d6fdfead1c1658649d1702bd7af6c8e472aa8e9407abac2ce0,1-year anniversary of war in Ukraine marked by Montgomery County dignitaries: 'We're still standing our ground',2023-02-23,Feb. 23—JENKINTOWN — Approaching the first anniver,democrat,2023-02,The Reporter,1.0986122886681098,0.0,1.0,0.0,1.0,,,,
art_v1_00a952e41c6a5a20f387916692c34728484815e981bd7533a8fe194cc0330377,"As Putin looms, Europe feels anxious, unmoored; Leaders question if US will help fund Ukraine's resistance; war in ukraine",2024-02-19,MUNICH - As the leaders of the West gathered in Mu,republican,2024-02,The Hartford Courant,0.6931471805599453,0.0,1.0,0.0,1.0,,,0.0,1.0
art_v1_00bca7315dfd63f1a4c7b4bbe9415f838f947c57c26fccc32436bd722faa1c17,House passes Pentagon policy bill roiled by transgender-care debate,2024-12-12,The House on Wednesday passed an $895.2 billion de,republican,2024-12,Washington Post.com,0.6931471805599453,75.0,1.0,,,,,,
art_v1_00c2fd29849c5c64a519079da5f7d658e58b4e2d7ff92ec6ea2ac72d25371d82,How Russia's aggression in Ukraine in 2014 and 2015 is shaping Biden's actions today,2022-03-22,The former diplomats and defense officials who vis,democrat,2022-03,Washington Post.com,2.995732273553991,21.666666666666668,12.0,20.714285714285715,7.0,0.0,1.0,0.0,1.0
art_v1_00c679599eb5774b1a772dd7fe56e87810555c1e6dec3cabe38dcb1324fc1b7d,"UKRAINIAN REFUGEES ARE BOUND FOR SPOKANE, BUT IT'S NOT CLEAR HOW MANY",2022-03-25,"WAR IN UKRAINE
Spokesman-Review reporter Eli Franc",democrat,2022-03,The Spokesman-Review,0.6931471805599453,,,,,,,,
art_v1_00c679599eb5774b1a772dd7fe56e87810555c1e6dec3cabe38dcb1324fc1b7d,"UKRAINIAN REFUGEES ARE BOUND FOR SPOKANE, BUT IT'S NOT CLEAR HOW MANY",2022-03-25,"WAR IN UKRAINE
Spokesman-Review reporter Eli Franc",republican,2022-03,The Spokesman-Review,0.6931471805599453,,,0.0,1.0,,,,
art_v1_00c92969d0acf7cf5082019d6b152d74fc05458231c8628aeca9eb40cf62c63d,Military didn’t mistakenly send an extra $6 billion to Ukraine,2023-09-24,Some recent social media posts have renewed the mo,democrat,2023-09,Daily Herald,0.6931471805599453,75.0,1.0,,,,,,
art_v1_00cfff9ea435c8b02dbb8be1aad663b9a4eaa7a7354a28446207477c393cb97c,"Despite risks, U.S. veterans line up to join ranks of Ukrainian war effort",2022-03-13,Lane Perkins arrived at the Ukraine-Poland border ,democrat,2022-03,The Washington Post,0.6931471805599453,,,,,,,,
art_v1_00ef2c60f41668cf1cd5c8ebd994983374244000d7dc711d1d1578515e088b31,"Ukraine Welcomes Leader Back from US, Putin Dismisses Trip",2022-12-22,KYIV — Ukrainians welcomed President Volodymyr Zel,democrat,2022-12,The National Herald,0.6931471805599453,,,,,,,,
art_v1_00f03cdb228619f5de94caed7e70069151740fc4e13809f12b8a40209e02ee73,Ukrainian MiGs Firing American Missiles Are Hunting Down Russian Air-Defenses,2022-08-26,"With every new photo that circulates online, it’s ",democrat,2022-08,Forbes.com,0.6931471805599453,0.0,1.0,,,,,0.0,1.0
art_v1_00f2c5b09534bff0c82269d5e7b7af07fb1af16d882ac22b12d918f8fc79825f,‘As Long as It Takes’: Biden Adds to Talk of a New Cold War,2023-07-14,But that oversimplifies a complex global situation,democrat,2023-07,NYTimes.com Feed,1.3862943611198906,10.0,1.0,5.0,2.0,0.0,1.0,5.0,2.0
art_v1_00f6ad1021d7c2355a77001cf015055f94859dda9eca8912f7d16274bf9c2573,Hell on earth: I reported from the war in Ukraine. What I witnessed still haunts me.,2023-02-25,"The past year, while covering the war in Ukraine, ",democrat,2023-02,USA Today Online,0.6931471805599453,0.0,1.0,0.0,1.0,,,,
art_v1_00fa3f982065411a612eeb5fde30551e125ead5d382edd77afbd371b72cb7bbc,"SHUTDOWN AVERTED; House, Senate OK 45-day funding bill, sent to Biden",2023-10-01,WASHINGTON - The threat of a federal government sh,democrat,2023-10,Orlando Sentinel,0.6931471805599453,0.0,1.0,,,,,,
art_v1_00fa3f982065411a612eeb5fde30551e125ead5d382edd77afbd371b72cb7bbc,"SHUTDOWN AVERTED; House, Senate OK 45-day funding bill, sent to Biden",2023-10-01,WASHINGTON - The threat of a federal government sh,republican,2023-10,Orlando Sentinel,1.0986122886681098,5.0,2.0,0.0,1.0,0.0,1.0,,
art_v1_010137a70d39115a5634a85744658fbfdb8d181bb47f2438308dfdf36f4a5e14,"With Russia bolstering defenses and adding soldiers, U.S. officials see a possible stalemate ahead.",2022-12-22,WASHINGTON — As the war in Ukraine soon enters its,democrat,2022-12,NYTimes.com Feed,0.6931471805599453,,,,,,,,
art_v1_0105780bdb341558dcbfdf8bb980a0bc3b7fa404d50599de1572d2e38722de1a,World News: Moscow Hits Ukraine Power Grid --- Zelensky criticizes delay in U.S. support after strikes on energy infrastructure,2024-03-23,A massive Russian missile-and-drone barrage left h,democrat,2024-03,The Wall Street Journal,0.6931471805599453,10.0,1.0,10.0,1.0,,,10.0,1.0
art_v1_010dab76b048d3dab02b0bdbc4a749e42e3fd683404987e29fa2919ea3e2b87e,U.S. News: Yellen Notes Risks to U.S. Economy,2022-05-05,Treasury Secretary Janet Yellen said the U.S. econ,democrat,2022-05,The Wall Street Journal,0.6931471805599453,,,,,,,,
art_v1_01111bd4c256f92cc39c25861347c85a8ae87bcb3c11e388d3d1c78817e12ee4,"Greene's call for ending U.S. aid to Ukraine isn't about the money ; Ukraine aid makes up a tiny fraction of U.S. federal spending, even on defense, but it has helped hobble Russian aggression. That, it seems, is part of Greene's complaint.",2022-11-04,Speeches presented at Donald Trump's rallies are n,democrat,2022-11,Washington Post.com,0.6931471805599453,90.0,1.0,70.0,1.0,,,80.0,1.0
art_v1_01111bd4c256f92cc39c25861347c85a8ae87bcb3c11e388d3d1c78817e12ee4,"Greene's call for ending U.S. aid to Ukraine isn't about the money ; Ukraine aid makes up a tiny fraction of U.S. federal spending, even on defense, but it has helped hobble Russian aggression. That, it seems, is part of Greene's complaint.",2022-11-04,Speeches presented at Donald Trump's rallies are n,republican,2022-11,Washington Post.com,1.791759469228055,83.33333333333333,3.0,,,,,,
art_v1_0111bc19d23ff0b1331d4e6848c0708453886388bd96b6ea20f6aed78e1d8602,"US Rep. Chuck Edwards: ""Don't take away guns""",2024-09-10,"""The answer to the violence that we see today is n",republican,2024-09,Asheville Citizen-Times,1.0986122886681098,15.0,2.0,,,,,,
art_v1_01162cf9f9e679ddd0d525ad02b3d57d00aa7d4179e10474ea53c797894c8363,"Ally of Putin, With Links To Manafort, Is Captured",2022-04-14,"Viktor Medvedchuk, a Ukrainian politician close to",republican,2022-04,The New York Times,1.6094379124341005,,,50.0,1.0,,,,
art_v1_0121f60c14f76299874483916a310bb0c0fbca2f624aca06873a21da5665e167,DOD announces $300M package for Ukraine,2023-06-01,The Defense Department today announced it will tra,democrat,2023-06,Inside the Pentagon,0.6931471805599453,0.0,1.0,,,,,,
art_v1_0122a15925381c9ee0be977fe1b4002654f5927eefcaf4d4c3cdb0a0d67aeb61,World News: West Explores Seizing Russian Assets to Help Kyiv,2024-01-13,The U.S. and its partners are exploring ways to us,democrat,2024-01,The Wall Street Journal,0.6931471805599453,20.0,1.0,,,,,20.0,1.0
art_v1_013937043cf64b88fbe150583aa62c15f4674c49ea2058b86753834f1b0a1740,"'Real Peace' for Ukraine Requires More Military Support, Blinken Says; In Finland, top U.S. diplomat warns that Russian President Vladimir Putin isn't ready for diplomacy",2023-06-03,HELSINKI—The Biden administration's chief diplomat,democrat,2023-06,The Wall Street Journal Online,1.3862943611198906,16.666666666666668,3.0,10.0,1.0,10.0,1.0,15.0,2.0
art_v1_013b8a8909ec3cbd5920d83fe885dc83ce4f287d29bbc68584bad3ba03f8b912,Florida GOP: Border issue tops Ukraine; Donalds not swayed despite Navalny's death,2024-02-25,"""Look at what they're doing with the national secu",democrat,2024-02,The News-Press,1.3862943611198906,53.333333333333336,3.0,,,,,55.0,2.0
art_v1_013b8a8909ec3cbd5920d83fe885dc83ce4f287d29bbc68584bad3ba03f8b912,Florida GOP: Border issue tops Ukraine; Donalds not swayed despite Navalny's death,2024-02-25,"""Look at what they're doing with the national secu",republican,2024-02,The News-Press,1.3862943611198906,70.0,1.0,,,,,70.0,1.0
art_v1_013ee54eb81c1af4d9f7d7b44b46fc84068a8b09045a16f90570011eced026b6,"Congress, Stop Holding American Disaster Relief Hostage to Ukraine Aid",2023-09-28,"Senate Republicans Rick Scott and Marco Rubio, bot",democrat,2023-09,The Heritage Foundation,2.079441541679836,33.75,4.0,10.0,1.0,10.0,1.0,42.5,2.0
art_v1_013ee54eb81c1af4d9f7d7b44b46fc84068a8b09045a16f90570011eced026b6,"Congress, Stop Holding American Disaster Relief Hostage to Ukraine Aid",2023-09-28,"Senate Republicans Rick Scott and Marco Rubio, bot",republican,2023-09,The Heritage Foundation,1.791759469228055,44.0,5.0,,,,,56.666666666666664,3.0
art_v1_0141ebe058a009fafcd3a09377f6a76b96da2dc2c219e9bf2c5aaebcc51d039f,"5 symbolic moments of Zelenskyy's White House visit and historic address to Congress, from his green sweatshirt to quoting FDR",2022-12-22,* Ukrainian President Volodymyr Zelenskyy gave a h,democrat,2022-12,Business Insider,1.6094379124341005,,,,,,,,
art_v1_0142f620251b2dbf4e95b14272e1c83b118d8d1a057c2b7120132bae732ded5c,How Ukraine can break the stalemate,2023-11-13,IN A RECENT essay and interview with the Economist,democrat,2023-11,The Washington Post,0.6931471805599453,60.0,1.0,,,20.0,1.0,,
art_v1_0142f620251b2dbf4e95b14272e1c83b118d8d1a057c2b7120132bae732ded5c,How Ukraine can break the stalemate,2023-11-13,IN A RECENT essay and interview with the Economist,republican,2023-11,The Washington Post,0.6931471805599453,25.0,1.0,,,,,,
art_v1_0148ac31c003565ab301e8186b8ff71c62dde784a49afb014448c9377921e3e6,A world of change: Biden seeks his footing as his agenda and the landscape are transformed,2022-03-02,"Everything has changed.
President Joe Biden's Stat",democrat,2022-03,USA Today Online,1.3862943611198906,60.0,1.0,0.0,1.0,,,0.0,1.0
art_v1_0148f2423ff82727d1f03a4378a6c86e94a519547498924fdc454473ae1c6443,"U.S. and its allies up, Russia down",2022-05-18,"Take a look at what Russians like to call the ""cor",democrat,2022-05,The Washington Post,0.6931471805599453,,,,,,,,
art_v1_0148ff1864b5e498cf7272ea6f99ebce5be261562702c670e0e40201f378c93e,Mattingly: Ukraine and clashing views of the 'Holy Rus',2022-12-24,"After the Soviet Union's collapse, Orthodox Christ",republican,2022-12,Times Record News Online,0.6931471805599453,,,,,,,,
art_v1_014baf5c7a97edbf5d908480cb5f7b07854b7fb7e89e03da2716d5fc8be4877e,American Voters Voice Disapproval of Speaker Johnson’s Foreign Aid Bills: New Poll,2024-04-18,FIRST ON THE DAILY SIGNAL—New polling conducted th,democrat,2024-04,Heritage Foundation - The Daily Signal,1.3862943611198906,36.666666666666664,3.0,,,,,45.0,2.0
art_v1_014baf5c7a97edbf5d908480cb5f7b07854b7fb7e89e03da2716d5fc8be4877e,American Voters Voice Disapproval of Speaker Johnson’s Foreign Aid Bills: New Poll,2024-04-18,FIRST ON THE DAILY SIGNAL—New polling conducted th,republican,2024-04,Heritage Foundation - The Daily Signal,0.6931471805599453,90.0,1.0,,,,,,
art_v1_0151f500364a5a92a234e281ebd5abc730ec808d0df96a80317f5a0959da5012,"Tuesday, January 31. Russia’s War On Ukraine: Daily News And Information From Ukraine",2023-01-31,"Dispatches from Ukraine. Day 342.
As Russia’s atta",democrat,2023-01,Forbes.com,0.6931471805599453,10.0,1.0,,,,,,
art_v1_01576240c9d0ec963e970171a45894c585622149d1c06a503896242ea16c7dc4,"At Biden's second Democracy Summit, Zelensky is first among equals",2023-03-28,The enduring image of President Biden’s first Summ,democrat,2023-03,NJ Daily Extra,2.079441541679836,0.0,1.0,0.0,3.0,,,,
art_v1_01604aa5c6e61aacea0bfeb1c78e52e2daa00a1114f856e077c7c8ea89d4a26f,Avenger air defense systems headed to Ukraine,2022-11-11,The Pentagon has announced a $400 million weapons ,democrat,2022-11,Inside the Army,0.6931471805599453,0.0,1.0,,,,,,
art_v1_016394de5b3357a500041e5160d2d59581946c2ef37c4892db8ddb7451cdc8b4,Senator wants inspector general with Dayton background to oversee Ukraine aid,2023-05-31,May 31—A senator is pledging to reintroduce a bill,republican,2023-05,Dayton Daily News,0.6931471805599453,,,,,,,,
art_v1_01653aa5452ff5b33b1ec8cb6ef288ab026c0d5ca6557da83dd8ffe654c12f3b,"White House Warns Ukraine Aid Is Running Out, Pressing Congress for More",2023-12-04,"The warning, in a letter to congressional leaders,",democrat,2023-12,NYTimes.com Feed,1.3862943611198906,30.0,2.0,,,,,0.0,1.0
art_v1_01653aa5452ff5b33b1ec8cb6ef288ab026c0d5ca6557da83dd8ffe654c12f3b,"White House Warns Ukraine Aid Is Running Out, Pressing Congress for More",2023-12-04,"The warning, in a letter to congressional leaders,",republican,2023-12,NYTimes.com Feed,2.079441541679836,61.0,5.0,0.0,1.0,,,53.333333333333336,3.0
art_v1_0169e3096ecc1b760fbc45b2c7ffd34934d4ab596f3b030e5c830bb09f86af1c,"Putin: ‘Look...at the destroyed schools,’ says Zelenskyy",2022-03-06,"LVIV, Ukraine — Russian President Vladimir Putin w",democrat,2022-03,Daily Herald,0.6931471805599453,10.0,1.0,,,,,,
art_v1_016dfa16a8efe09034aa9aab902ab8179027504859af85c1782193c24ede1dbc,Nuclear war isn't just diplomacy continued by other means,2022-03-17,The United States has had several wars end badly o,republican,2022-03,The Week,0.6931471805599453,10.0,1.0,10.0,1.0,,,,
art_v1_017279e6fe9bb87319a9744aef00e6815dd043e0edde41df8f55fcf213054ced,"Save Vero Beach Three Corners, Oslo Road at I-95 from threats; book ban; kids and adultery",2024-07-06,Indian River County had better get it right with O,republican,2024-07,TCPalm,1.0986122886681098,87.5,2.0,75.0,1.0,50.0,1.0,50.0,1.0
art_v1_01756e66c833ee6dfc8f230be3429b71cb2775ede2fecfd1aefbaeb16a90c7d7,Biden Ending Europe Trip with Unity Message that Echoes Past,2022-03-26,"WARSAW, Poland — Twenty-five years ago, Joe Biden ",democrat,2022-03,The National Herald,1.0986122886681098,0.0,1.0,0.0,1.0,,,0.0,1.0
